-Greetings
Buenos días|Good morning
Buenas tardes|Good afternoon 
Buenas noches|Good evening
-Days of the week
Lunes|Monday
Martes|Tuesday
Miércoles|Wednesday
Jueves|Thursday
Viernes|Friday
Sábado|Saturday
Domingo|Sunday
Ahora, Hoy|Today
Mañana|Tomorrow
Ayer|Yesterday
Antier|Day before yesterday
-Months of the Year and Holidays
Enero|January
Febrero|February
Marzo|March
Abril|April
Mayo|May
Junio|June
Julio|July 
Agosto|August
Septiembre|September
Octubre|October
Noviembre|November
December|December
Dia Feriado|Holiday
Vacación|Vacation
Año Nuevo|New Year
Feliz Año Nuevo|Happy New Year!
Pascuas|Easter
Navidad|Christmas
Feliz Navidad|Merry Christmas
Feliz Cumpleaños|Happy Birthday!
Cumpleaños|Birth date
-Counting
Cero|0 zero
Uno|1 one
Dos|2 two
Tres|3 three
Cuatro|4 four
Cinco|5 five
Seis|6 six
Siete|7 seven
Ocho|8 eight
Nueve|9 nine
Diez|10 ten
-Colors
Blanco|White
Negro|Black
Cafe|Brown
Rojo|Red
Anaranjado|Orange
Amarillo|Yellow
Verde|Green
Azul|Blue
Morado|Purple
-Size
Tamaño|Size
Grande|Large
Mediano|Medium
Pequeño|Small
-Names
Señor|Mr. 
Señora|Mrs. 
Señorita|Miss
Doctor|Doctor
Doctora|Doctor
Dentista|Dentist
-Calling your patient...
Llamando al paciente|Calling your patient...
Hola mi nombre es______. Yo soy su nuevo/a estudiante dentista. Cuando le gustaria hacer una cita?|Hello my name is_______. I am your new student dentist. When would you like to make an appointment?
Mi español es limitado, hableme con palabras sencillas por favor.|My Spanish is limited , so please use simple words.
Su próxima cita es (el día) a (la hora).|Your next appointment is on (date) at (time)
Estaré a la espera de verle en su próxima cita.|I look forward to seeing you at your next appointment
Llameme si…|Call me if…
necesita cancelar la cita|You need to cancel
tiene algun problema|You have a problem
tiene preguntas|You have questions
usted empeora |You get worse
Mucho gusto en conocerlo (a).|Very nice meeting you.
-Meeting your patient
Siéntese por favor|Please sit down
Cual es el motivo de su visita?|What is the motive of your visit? (Chief Complaint)
Tiene Dolor?|Do you have pain?
Repita lo que me dijo, por favor.|Please repeat what you told me.
Hable más despacio, por favor.|Please speak more slowly.
Muchas Gracias|Thank You
De nada|Your Welcome
Hasta la proxima vez.|Until next time.
Adios|Goodbye
-Extraoral Structures
Estructuras extraorales|Extraoral Structures
Cabeza|Head
Cara|Face
Frente|Forehead
Ojos|Eyes
Oídos|Ears
Nariz|Norse
Cachetes|Cheeks
Labios|Lips
Boca|Mouth
Barbilla|Chin
Cuello|Neck
-Intraoral Structures
Estructuras intraorales|Intraoral Structures
Dientes|Teeth
Lengua|Tongue
Mandibula|Mandible
Encias/gingiva|Gums/Gingiva
Paladar|Palate
suelo de la boca|Floor of the mouth
Garganta|Throat
Mucosa|Mucosa
Reborde|Ridge
Saliva|Saliva
Glandulas salivales|Salivary Glands
